Delimiters (│) should align. [ALL+VS16+W/VS]
│──│═══════════════════
│⬆️│ 0x2B06+0xFE0F
│⬇️│ 0x2B07+0xFE0F
│🅰️│ 0x1F170+0xFE0F
│🅱️│ 0x1F171+0xFE0F
│🅾️│ 0x1F17E+0xFE0F
│🅿️│ 0x1F17F+0xFE0F
│🌡️│ 0x1F321+0xFE0F
│🌤️│ 0x1F324+0xFE0F
│🌥️│ 0x1F325+0xFE0F
│🌦️│ 0x1F326+0xFE0F
│🌧️│ 0x1F327+0xFE0F
│🌨️│ 0x1F328+0xFE0F
│🌩️│ 0x1F329+0xFE0F
│🌪️│ 0x1F32A+0xFE0F
│🌫️│ 0x1F32B+0xFE0F
│🌬️│ 0x1F32C+0xFE0F
│🌶️│ 0x1F336+0xFE0F
│🍽️│ 0x1F37D+0xFE0F
│🎖️│ 0x1F396+0xFE0F
│🎗️│ 0x1F397+0xFE0F
│🎙️│ 0x1F399+0xFE0F
│🎚️│ 0x1F39A+0xFE0F
│🎛️│ 0x1F39B+0xFE0F
│🎞️│ 0x1F39E+0xFE0F
│🎟️│ 0x1F39F+0xFE0F
│🏋️│ 0x1F3CB+0xFE0F
│🏌️│ 0x1F3CC+0xFE0F
│🏍️│ 0x1F3CD+0xFE0F
│🏎️│ 0x1F3CE+0xFE0F
│🏔️│ 0x1F3D4+0xFE0F
│🏕️│ 0x1F3D5+0xFE0F
│🏖️│ 0x1F3D6+0xFE0F
│🏗️│ 0x1F3D7+0xFE0F
│🏘️│ 0x1F3D8+0xFE0F
│🏙️│ 0x1F3D9+0xFE0F
│🏚️│ 0x1F3DA+0xFE0F
│🏛️│ 0x1F3DB+0xFE0F
│🏜️│ 0x1F3DC+0xFE0F
│🏝️│ 0x1F3DD+0xFE0F
│🏞️│ 0x1F3DE+0xFE0F
│🏟️│ 0x1F3DF+0xFE0F
│🏳️│ 0x1F3F3+0xFE0F
│🏵️│ 0x1F3F5+0xFE0F
│🏷️│ 0x1F3F7+0xFE0F
│🐿️│ 0x1F43F+0xFE0F
│👁️│ 0x1F441+0xFE0F
│📽️│ 0x1F4FD+0xFE0F
│🕉️│ 0x1F549+0xFE0F
│🕊️│ 0x1F54A+0xFE0F
│🕯️│ 0x1F56F+0xFE0F
│🕰️│ 0x1F570+0xFE0F
│🕳️│ 0x1F573+0xFE0F
│🕴️│ 0x1F574+0xFE0F
│🕵️│ 0x1F575+0xFE0F
│🕶️│ 0x1F576+0xFE0F
│🕷️│ 0x1F577+0xFE0F
│🕸️│ 0x1F578+0xFE0F
│🕹️│ 0x1F579+0xFE0F
│🖇️│ 0x1F587+0xFE0F
│🖊️│ 0x1F58A+0xFE0F
│🖋️│ 0x1F58B+0xFE0F
│🖌️│ 0x1F58C+0xFE0F
│🖍️│ 0x1F58D+0xFE0F
│🖐️│ 0x1F590+0xFE0F
│🖥️│ 0x1F5A5+0xFE0F
│🖨️│ 0x1F5A8+0xFE0F
│🖱️│ 0x1F5B1+0xFE0F
│🖲️│ 0x1F5B2+0xFE0F
│🖼️│ 0x1F5BC+0xFE0F
│🗂️│ 0x1F5C2+0xFE0F
│🗃️│ 0x1F5C3+0xFE0F
│🗄️│ 0x1F5C4+0xFE0F
│🗑️│ 0x1F5D1+0xFE0F
│🗒️│ 0x1F5D2+0xFE0F
│🗓️│ 0x1F5D3+0xFE0F
│🗜️│ 0x1F5DC+0xFE0F
│🗝️│ 0x1F5DD+0xFE0F
│🗞️│ 0x1F5DE+0xFE0F
│🗡️│ 0x1F5E1+0xFE0F
│🗣️│ 0x1F5E3+0xFE0F
│🗨️│ 0x1F5E8+0xFE0F
│🗯️│ 0x1F5EF+0xFE0F
│🗳️│ 0x1F5F3+0xFE0F
│🗺️│ 0x1F5FA+0xFE0F
│🛋️│ 0x1F6CB+0xFE0F
│🛍️│ 0x1F6CD+0xFE0F
│🛎️│ 0x1F6CE+0xFE0F
│🛏️│ 0x1F6CF+0xFE0F
│🛠️│ 0x1F6E0+0xFE0F
│🛡️│ 0x1F6E1+0xFE0F
│🛢️│ 0x1F6E2+0xFE0F
│🛣️│ 0x1F6E3+0xFE0F
│🛤️│ 0x1F6E4+0xFE0F
│🛥️│ 0x1F6E5+0xFE0F
│🛩️│ 0x1F6E9+0xFE0F
│🛰️│ 0x1F6F0+0xFE0F
│🛳️│ 0x1F6F3+0xFE0F
