Delimiters (│) should align. [GRAPHEME w=3]
│───│═══════════════════
│𑄇𑄳𑄠𑄬│ 11107+11133+11120+1112C
│ꦭ꧀ꦲꦁ│ A9AD+A9C0+A9B2+A981
│ꦭ꧀ꦲꦶꦁ│ A9AD+A9C0+A9B2+A9B6+A981
│ꦭ꧀ꦲꦸ│ A9AD+A9C0+A9B2+A9B8
│ꦱ꧀ꦏ│ A9B1+A9C0+A98F
│ꦱ꧀ꦏꦁ│ A9B1+A9C0+A98F+A981
│ꦱ꧀ꦒ│ A9B1+A9C0+A992
│ꦱ꧀ꦔꦸ│ A9B1+A9C0+A994+A9B8
│ꦱ꧀ꦛꦶ│ A9B1+A9C0+A99B+A9B6
│ꦱ꧀ꦠ│ A9B1+A9C0+A9A0
│ꦱ꧀ꦢꦂ│ A9B1+A9C0+A9A2+A982
│ꦱ꧀ꦢꦶ│ A9B1+A9C0+A9A2+A9B6
│ꦱ꧀ꦢꦸ│ A9B1+A9C0+A9A2+A9B8
│ꦱ꧀ꦥ│ A9B1+A9C0+A9A5
│ꦱ꧀ꦧ│ A9B1+A9C0+A9A7
│ꦱ꧀ꦧꦁ│ A9B1+A9C0+A9A7+A981
│ꦱ꧀ꦩ│ A9B1+A9C0+A9A9
│ꦱ꧀ꦩꦶ│ A9B1+A9C0+A9A9+A9B6
│ꦱ꧀ꦩꦼ│ A9B1+A9C0+A9A9+A9BC
│ꦱ꧀ꦭ│ A9B1+A9C0+A9AD
│ꦱ꧀ꦮ│ A9B1+A9C0+A9AE
│ꦱ꧀ꦱ│ A9B1+A9C0+A9B1
│ꦱ꧀ꦱꦂ│ A9B1+A9C0+A9B1+A982
│ꦱ꧀ꦱꦶ│ A9B1+A9C0+A9B1+A9B6
│ꦱ꧀ꦱꦶꦁ│ A9B1+A9C0+A9B1+A9B6+A981
│ꦱ꧀ꦱꦸ│ A9B1+A9C0+A9B1+A9B8
│ꦱ꧀ꦲ│ A9B1+A9C0+A9B2
│ꦱ꧀ꦲꦁ│ A9B1+A9C0+A9B2+A981
│ꦱ꧀ꦲꦶ│ A9B1+A9C0+A9B2+A9B6
│ꦱ꧀ꦲꦶꦁ│ A9B1+A9C0+A9B2+A9B6+A981
│ꦱ꧀ꦲꦸ│ A9B1+A9C0+A9B2+A9B8
│ក្ដៅ│ 1780+17D2+178A+17C5
│ក្រោ│ 1780+17D2+179A+17C4
│ក្សា│ 1780+17D2+179F+17B6
│ខ្ជា│ 1781+17D2+1787+17B6
│ខ្លា│ 1781+17D2+179B+17B6
│គ្នា│ 1782+17D2+1793+17B6
│គ្មា│ 1782+17D2+1798+17B6
│គ្រា│ 1782+17D2+179A+17B6
│គ្រឹះ│ 1782+17D2+179A+17B9+17C7
│ង្កើ│ 1784+17D2+1780+17BE
│ង្រៀ│ 1784+17D2+179A+17C0
│ង្ហា│ 1784+17D2+17A0+17B6
│ច្ចេ│ 1785+17D2+1785+17C1
│ច្បា│ 1785+17D2+1794+17B6
│ឆ្នាំ│ 1786+17D2+1793+17B6+17C6
│ឆ្នោ│ 1786+17D2+1793+17C4
│ឆ្លើ│ 1786+17D2+179B+17BE
│ជ្ជា│ 1787+17D2+1787+17B6
│ជ្ញា│ 1787+17D2+1789+17B6
│ជ្រើ│ 1787+17D2+179A+17BE
│ជ្រៀ│ 1787+17D2+179A+17C0
│ជ្រែ│ 1787+17D2+179A+17C2
│ឈ្មោះ│ 1788+17D2+1798+17C4+17C7
│ញ្ជា│ 1789+17D2+1787+17B6
│ញ្ញា│ 1789+17D2+1789+17B6
│ញ្ញៈ│ 1789+17D2+1789+17C8
│ដ្ឋា│ 178A+17D2+178B+17B6
│ណ្ដា│ 178E+17D2+178A+17B6
│ណ្ដុះ│ 178E+17D2+178A+17BB+17C7
│ណ្ណោះ│ 178E+17D2+178E+17C4+17C7
│ត្រា│ 178F+17D2+179A+17B6
│ថ្ងៃ│ 1790+17D2+1784+17C3
│ថ្នា│ 1790+17D2+1793+17B6
│ថ្លៃ│ 1790+17D2+179B+17C3
│ទ្យា│ 1791+17D2+1799+17B6
│ធ្នា│ 1792+17D2+1793+17B6
│ធ្យា│ 1792+17D2+1799+17B6
│ធ្យោ│ 1792+17D2+1799+17C4
│ធ្វើ│ 1792+17D2+179C+17BE
│ន្ថែ│ 1793+17D2+1790+17C2
│ន្ថោ│ 1793+17D2+1790+17C4
│ន្ទា│ 1793+17D2+1791+17B6
│ន្ទៈ│ 1793+17D2+1791+17C8
│ន្យា│ 1793+17D2+1799+17B6
